Type,Time,Value
Pressure,1,15
Pressure,2,15
Pressure,3,15
Pressure,4,16
Pressure,5,17
Pressure,6,14
Pressure,7,13
Pressure,8,13
Pressure,9,15
Pressure,10,15
Pressure,11,15
Pressure,12,16
Pressure,13,17
Pressure,14,14
Pressure,15,13
Pressure,16,13
Pressure,17,15
Pressure,18,15
Pressure,19,15
Pressure,20,16
Oxygen,1,15
Oxygen,2,15
Oxygen,3,15
Oxygen,4,16
Oxygen,5,17
Oxygen,6,14
Oxygen,7,13
Oxygen,8,13
Oxygen,9,15
Oxygen,10,15
Oxygen,11,15
Oxygen,12,16
Oxygen,13,17
Oxygen,14,14
Oxygen,15,13
Oxygen,16,13
Oxygen,17,15
Oxygen,18,15
Oxygen,19,15
Oxygen,20,16
Volume,1,15
Volume,2,15
Volume,3,15
Volume,4,16
Volume,5,17
Volume,6,14
Volume,7,13
Volume,8,13
Volume,9,15
Volume,10,15
Volume,11,15
Volume,12,16
Volume,13,17
Volume,14,14
Volume,15,13
Volume,16,13
Volume,17,15
Volume,18,15
Volume,19,15
Volume,20,16